,Z,N,E,S,W
4.283333333333333,6373.123443687431,6822.096715912887,5640.5071940075795,6466.812176825863,8106.6670595975165
4.3,6367.202472604084,6812.673811773016,5628.454171096881,6453.144822683064,8072.850615082968
4.316666666666666,6360.684799472446,6802.455249760206,5616.372444909769,6438.755130093315,8039.609133602208
4.333333333333333,6353.618271220169,6791.325939707312,5604.662383674273,6424.417897687548,8006.582128760243
4.35,6345.957535984472,6779.493504160122,5593.4925783781,6409.541051614806,7973.382851916706
4.366666666666666,6337.96931169853,6767.634777309484,5583.127582444158,6394.804861854243,7939.1368249651
4.383333333333333,6329.936028134062,6755.791452482568,5573.817995075667,6380.460393971245,7902.919042216379
4.4,6322.532914052005,6743.984147759533,5565.742184892337,6366.3354108396015,7863.888943598728
4.416666666666667,6315.788925484934,6731.6982232353785,5558.861443842063,6352.464487926046,7822.318758403488
4.433333333333334,6309.9230944802885,6718.843856120931,5553.037757411619,6338.819364062949,7778.851749159999
4.45,6304.903818591569,6705.22341892719,5547.947736111004,6325.339295992308,7734.047980353325
4.466666666666667,6300.107625406606,6690.926788844035,5543.043285006771,6312.055818700296,7688.4899093823
4.483333333333333,6295.43057843837,6676.149483933077,5537.773097756649,6299.093842666606,7642.808477835426
4.5,6290.354125636143,6661.225415254419,5531.9317105605805,6286.433840359119,7597.415803374928
4.516666666666667,6284.989018128125,6646.250968460024,5525.680166304964,6274.487353838474,7553.048777300579
4.533333333333333,6279.926226449554,6631.841133348452,5519.482739018082,6262.823396638697,7510.635712954479
4.55,6274.984035623142,6617.843662403625,5513.855672856816,6251.488611894303,7470.9382740587325
4.566666666666666,6270.426519537577,6604.499920429466,5509.395196103648,6240.44357179632,7434.529760135102
4.583333333333333,6266.33188567706,6591.587730512281,5506.37027247387,6229.0660860033795,7401.489619382664
4.6,6262.351068442522,6579.54615238523,5504.82424812975,6218.035096679097,7371.484907035918
4.616666666666666,6258.2295051645615,6568.178978997807,5504.645707018049,6206.390766761799,7343.905363261674
4.633333333333333,6253.870896344064,6557.655562935079,5505.506196428551,6194.947953218476,7318.090281544167
4.65,6248.936642867485,6548.201707704903,5506.991816059991,6183.365628018493,7293.040577219974
4.666666666666667,6243.220295935117,6539.637269373448,5508.88724208734,6171.723718309761,7267.998212826354
4.683333333333334,6236.924099221777,6531.411717820422,5511.1358466823995,6160.116690506283,7242.115601505126
4.7,6230.165496145494,6523.20335704203,5513.899456003896,6148.489834471137,7215.136700547592
4.716666666666667,6223.150797440419,6514.439814143439,5517.246582961503,6136.912118939471,7187.320417349945
4.733333333333333,6216.19639844298,6504.639638789764,5521.228353497583,6125.428647405167,7159.032188686181
4.75,6209.231564518386,6493.355213866927,5525.662130140849,6113.96617304327,7131.127289901788
4.766666666666667,6202.2791218469965,6480.8491895269035,5529.938077673086,6102.945864698773,7104.220511996694
4.783333333333333,6195.031279269393,6466.746647417774,5533.280048752561,6091.969031738512,7078.8034860510015
4.8,6187.418957170026,6451.410364844184,5535.004765747811,6081.619401773976,7054.894000728947
4.816666666666666,6179.5461696351,6434.657150578603,5534.68527515787,6071.682637702288,7031.985540759679
4.833333333333333,6171.321496689399,6416.83560317648,5532.592254184272,6062.294031135489,7009.461302498818
4.85,6162.9632244458,6397.95374738427,5529.279661517369,6053.623226949165,6986.724033273399
4.866666666666666,6154.740537280978,6378.185305357833,5525.656272932181,6045.339762789107,6963.963863950663
